Straße;Hausnummernbereich;PLZ;Stadtteil
"Ackerstraße";"1 - 57";"51427";"Refrath"
"Ackerstraße";"2 - 4";"51427";"Refrath"
"Ackerstraße";"6 - 14";"51427";"Refrath"
"Ackerstraße";"16 - 32";"51427";"Refrath"
"Ackerstraße";"38 - 40";"51427";"Refrath"
"Adalbert-Stifter-Straße";"1 - 41";"51427";"Refrath"
"Adalbert-Stifter-Straße";"2 - 12";"51427";"Refrath"
"Agnes-Miegel-Straße";"1 - 7";"51427";"Refrath"
"Agnes-Miegel-Straße";"2 - 18";"51427";"Refrath"
"Ahornweg";"2 - 28";"51469";"Heidkamp"
"Ahornweg";"3 - 65";"51469";"Heidkamp"
"Ahornweg";"30 - 80";"51469";"Heidkamp"
"Akazienweg";"1 - 7";"51467";"Schildgen"
"Akazienweg";"2 - 18";"51467";"Schildgen"
"Albert-Dimmers-Straße";"1 - 37";"51469";"Paffrath"
"Albert-Dimmers-Straße";"2 - 16";"51469";"Paffrath"
"Albert-Dimmers-Straße";"18 - 32";"51469";"Paffrath"
"Albert-Dimmers-Straße";"39 - 49";"51469";"Paffrath"
"Albert-Einstein-Straße";"1 - 13";"51429";"Moitzfeld"
"Albert-Einstein-Straße";"2 - 6";"51429";"Moitzfeld"
"Albert-Schweitzer-Straße";"1 - 27";"51429";"Kaule"
"Albert-Schweitzer-Straße";"2 - 16";"51429";"Kaule"
"Alt Lückerath";"1 - 7";"51429";"Lückerath"
"Alt Lückerath";"2 - 8";"51429";"Lückerath"
"Alt Refrath";"2 - 10";"51427";"Alt-Refrath"
"Alt Refrath";"3 - 19";"51427";"Alt-Refrath"
"Alte Dombach";"1 - 10";"51465";"Sand"
"Alte Kölnische Straße";"4 - 12";"51469";"Heidkamp"
"Alte Kölnische Straße";"5 - 27";"51469";"Heidkamp"
"Alte Marktstraße";"1 - 17";"51427";"Refrath"
"Alte Marktstraße";"4 - 28";"51427";"Refrath"
"Alte Wipperfürther Straße";"1 - 1";"51469";"Paffrath"
"Alte Wipperfürther Straße";"4 - 26";"51469";"Paffrath"
"Alte Wipperfürther Straße";"32 - 40";"51469";"Paffrath"
"Alte Wipperfürther Straße";"37 - 45";"51469";"Paffrath"
"Alte Wipperfürther Straße";"42 - 68";"51469";"Paffrath"
"Alte Wipperfürther Straße";"53 - 85";"51469";"Paffrath"
"Alte Wipperfürther Straße";"103 - 135";"51467";"Hebborn"
"Alte Wipperfürther Straße";"137 - 155";"51467";"Hebborn"
"Alte Wipperfürther Straße";"142 - 154";"51467";"Hebborn"
"Alte Wipperfürther Straße";"250 - 264";"51467";"Hebborn"
"Altenberger-Dom-Straße";"152 - 160";"51467";"Schildgen"
"Altenberger-Dom-Straße";"155 - 191";"51467";"Schildgen"
"Altenberger-Dom-Straße";"164 - 180";"51467";"Schildgen"
"Altenberger-Dom-Straße";"184 - 254";"51467";"Schildgen"
"Altenberger-Dom-Straße";"193 - 217";"51467";"Schildgen"
"Altenberger-Dom-Straße";"221 - 221";"51467";"Schildgen"
"Altenberger-Dom-Straße";"233 - 241";"51467";"Schildgen"
"Altenberger-Dom-Straße";"272 - 274";"51467";"Schildgen"
"Altenberger-Dom-Straße";"275 - 275";"51467";"Schildgen"
"Altenberger-Dom-Straße";"278 - 300";"51467";"Schildgen"
"Alter Schulweg";"1 - 21";"51429";"Herkenrath"
"Alter Schulweg";"2 - 8";"51429";"Herkenrath"
"Alter Traßweg";"2 - 28";"51427";"Alt-Refrath"
"Alter Traßweg";"3 - 31";"51427";"Alt-Refrath"
"Alter Traßweg";"30 - 32";"51427";"Alt-Refrath"
"Alter Traßweg";"34 - 44";"51427";"Kippekausen"
"Alter Traßweg";"46 - 46";"51427";"Kippekausen"
"Alter Traßweg";"82 - 100";"51427";"Kippekausen"
"Am Alten Forsthaus";"1 - 13";"51429";"Kaule"
"Am Alten Forsthaus";"2 - 6";"51429";"Kaule"
"Am Alten Pastorat";"1 - 31";"51465";"Stadtmitte"
"Am Alten Pastorat";"2 - 6";"51465";"Stadtmitte"
"Am Alten Pastorat";"26 - 52";"51465";"Stadtmitte"
"Am Anger";"1 - 7";"51427";"Lustheide"
"Am Anger";"2 - 16";"51427";"Lustheide"
"Am Bach";"2 - 14";"51427";"Refrath"
"Am Bach";"3 - 5";"51427";"Refrath"
"Am Birkenbusch";"1 - 25";"51469";"Heidkamp"
"Am Birkenbusch";"2 - 56";"51469";"Heidkamp"
"Am Birkenbusch";"27 - 31";"51469";"Heidkamp"
"Am Birkenbusch";"58 - 64";"51469";"Heidkamp"
"Am Birkenbusch";"59 - 67";"51469";"Heidkamp"
"Am Böckenbusch";"1 - 29";"51429";"Moitzfeld"
"Am Böckenbusch";"8 - 30";"51429";"Moitzfeld"
"Am Böttcherberg";"1 - 11";"51427";"Frankenforst"
"Am Böttcherberg";"2 - 10";"51427";"Frankenforst"
"Am Böttcherberg";"13 - 39";"51427";"Frankenforst"
"Am Böttcherberg";"20 - 36";"51427";"Frankenforst"
"Am Branderhof";"1 - 51";"51429";"Bärbroich"
"Am Branderhof";"2 - 6";"51429";"Bärbroich"
"Am Branderhof";"30 - 30";"51429";"Bärbroich"
"Am Broich";"1 - 21";"51465";"Stadtmitte"
"Am Broich";"2 - 8";"51465";"Stadtmitte"
"Am Brücker Bach";"1 - 13";"51427";"Refrath"
"Am Brücker Bach";"2 - 42";"51427";"Refrath"
"Am Brücker Bach";"15 - 39";"51427";"Refrath"
"Am Büchelterhof";"1 - 7";"51429";"Asselborn"
"Am Burgtor";"1 - 23";"51427";"Kippekausen"
"Am Burgtor";"2 - 12";"51427";"Kippekausen"
"Am Dännekamp";"15 - 15";"51469";"Gronau"
"Am Dännekamp";"38 - 38";"51469";"Gronau"
"Am Ecksberg";"2 - 8";"51467";"Katterbach"
"Am Ecksberg";"3 - 11";"51467";"Katterbach"
"Am Eichenberg";"7 - 39";"51465";"Stadtmitte"
"Am Eichenberg";"8 - 14";"51465";"Stadtmitte"
"Am Eichenkamp";"1 - 19";"51427";"Refrath"
"Am Eichenkamp";"4 - 26";"51427";"Refrath"
"Am Eichenkamp";"21 - 41";"51427";"Refrath"
"Am Eichenkamp";"32 - 34";"51427";"Refrath"
"Am Eichenkamp";"36 - 40";"51427";"Refrath"
"Am Eichenkamp";"43 - 47";"51427";"Refrath"
"Am Eichenkamp";"100 - 100";"51427";"Refrath"
"Am Fischweiher";"1 - 13";"51427";"Refrath"
"Am Fürstenbrünnchen";"1 - 5";"51429";"Lückerath"
"Am Fürstenbrünnchen";"6 - 12";"51429";"Lückerath"
"Am Fürstenbrünnchen";"9 - 21";"51429";"Lückerath"
"Am Fürstenbrünnchen";"16 - 18";"51429";"Lückerath"
"Am Fürstenbrünnchen";"22 - 44";"51429";"Lückerath"
"Am Fürstenbrünnchen";"25 - 39";"51429";"Lückerath"
"Am Fürstenbrünnchen";"62 - 66";"51429";"Lückerath"
"Am Fürstenbrünnchen";"78 - 78";"51429";"Lückerath"
"Am Gänschenwald";"1 - 19";"51467";"Katterbach"
"Am Gänschenwald";"2 - 18";"51467";"Katterbach"
"Am Gräfenweiher";"1 - 9";"51429";"Bensberg"
"Am Gräfenweiher";"2 - 10";"51429";"Bensberg"
"Am Grenzstein";"1 - 11";"51467";"Katterbach"
"Am Grenzstein";"2 - 12";"51467";"Katterbach"
"Am Grünen Wäldchen";"1 - 9";"51427";"Alt-Refrath"
"Am Grünen Wäldchen";"2 - 16";"51427";"Alt-Refrath"
"Am Grünen Weiher";"1 - 31";"51467";"Nußbaum"
"Am Grünen Weiher";"2 - 28";"51467";"Nußbaum"
"Am Hang";"2 - 14";"51429";"Bensberg"
"Am Heidetor";"3 - 23";"51467";"Hebborn"
"Am Heidetor";"6 - 28";"51467";"Hebborn"
"Am Hermannshof";"1 - 29";"51467";"Schildgen"
"Am Hermannshof";"2 - 20";"51467";"Schildgen"
"Am Hohnshäuschen";"1 - 5";"51469";"Heidkamp"
"Am Hohnshäuschen";"2 - 6";"51469";"Heidkamp"
"Am Hügel";"3 - 4";"51429";"Moitzfeld"
"Am Kamelsbuckel";"1 - 13";"51469";"Paffrath"
"Am Kamelsbuckel";"2 - 14";"51469";"Paffrath"
"Am Katterbach";"1 - 61";"51467";"Katterbach"
"Am Katterbach";"4 - 76";"51467";"Katterbach"
"Am Kierdorfer Wald";"1 - 35";"51429";"Herkenrath"
"Am Kierdorfer Wald";"2 - 20";"51429";"Herkenrath"
"Am Kleyberg";"1 - 7";"51465";"Sand"
"Am Kleyberg";"2 - 8";"51465";"Sand"
"Am Klutstein";"1 - 35";"51467";"Katterbach"
"Am Klutstein";"4 - 66";"51467";"Katterbach"
"Am Klutstein";"55 - 55";"51467";"Katterbach"
"Am Köhler";"1 - 15";"51427";"Refrath"
"Am Köhler";"2 - 14";"51427";"Refrath"
"Am Kuhlerbusch";"2 - 16";"51469";"Gronau"
"Am Kuhlerbusch";"5 - 19";"51469";"Gronau"
"Am Lehmbruch";"1 - 11";"51427";"Refrath"
"Am Lehmbruch";"2 - 8";"51427";"Refrath"
"Am Lichtor";"1 - 21";"51427";"Alt-Refrath"
"Am Lichtor";"2 - 16";"51427";"Alt-Refrath"
"Am Lindenhof";"1 - 7";"51465";"Stadtmitte"
"Am Meiler";"1 - 7";"51427";"Refrath"
"Am Meiler";"2 - 4";"51427";"Refrath"
"Am Meiler";"6 - 10";"51427";"Refrath"
"Am Meiler";"11 - 15";"51427";"Refrath"
"Am Meiler";"12 - 12";"51427";"Refrath"
"Am Milchbornbach";"1 - 17";"51429";"Bensberg"
